Date,Open,High,Low,Close
12/23/2011,9.84,9.84,9.84,9.84
12/22/2011,9.86,9.86,9.86,9.86
12/21/2011,9.85,9.85,9.85,9.85
12/20/2011,9.87,9.87,9.87,9.87
12/19/2011,9.9,9.9,9.9,9.9
12/16/2011,9.89,9.89,9.89,9.89
12/15/2011,9.87,9.87,9.87,9.87
12/14/2011,9.88,9.88,9.88,9.88
12/13/2011,9.87,9.87,9.87,9.87
12/12/2011,9.85,9.85,9.85,9.85
12/9/2011,9.84,9.84,9.84,9.84
12/8/2011,9.87,9.87,9.87,9.87
12/7/2011,9.86,9.86,9.86,9.86
12/6/2011,9.84,9.84,9.84,9.84
12/5/2011,9.85,9.85,9.85,9.85
12/2/2011,9.84,9.84,9.84,9.84
12/1/2011,10.05,10.05,10.05,10.05
11/30/2011,10.05,10.05,10.05,10.05
11/29/2011,10.05,10.05,10.05,10.05
11/28/2011,10.06,10.06,10.06,10.06
11/25/2011,10.06,10.06,10.06,10.06
11/23/2011,10.08,10.08,10.08,10.08
11/22/2011,10.08,10.08,10.08,10.08
11/21/2011,10.08,10.08,10.08,10.08
11/18/2011,10.09,10.09,10.09,10.09
11/17/2011,10.11,10.11,10.11,10.11
11/16/2011,10.12,10.12,10.12,10.12
11/15/2011,10.12,10.12,10.12,10.12
11/14/2011,10.13,10.13,10.13,10.13
11/11/2011,10.11,10.11,10.11,10.11
11/10/2011,10.13,10.13,10.13,10.13
11/9/2011,10.16,10.16,10.16,10.16
11/8/2011,10.15,10.15,10.15,10.15
11/7/2011,10.18,10.18,10.18,10.18
11/4/2011,10.18,10.18,10.18,10.18
11/3/2011,10.17,10.17,10.17,10.17
11/2/2011,10.2,10.2,10.2,10.2
11/1/2011,10.2,10.2,10.2,10.2
10/31/2011,10.17,10.17,10.17,10.17
10/28/2011,10.11,10.11,10.11,10.11
10/27/2011,10.07,10.07,10.07,10.07
10/26/2011,10.1,10.1,10.1,10.1
10/25/2011,10.13,10.13,10.13,10.13
10/24/2011,10.07,10.07,10.07,10.07
10/21/2011,10.07,10.07,10.07,10.07
10/20/2011,10.06,10.06,10.06,10.06
10/19/2011,10.06,10.06,10.06,10.06
10/18/2011,10.04,10.04,10.04,10.04
10/17/2011,10.04,10.04,10.04,10.04
10/14/2011,10.01,10.01,10.01,10.01
10/13/2011,10.02,10.02,10.02,10.02
10/12/2011,10,10,10,10
10/11/2011,10.01,10.01,10.01,10.01
10/10/2011,9.99,9.99,9.99,9.99
10/7/2011,10.02,10.02,10.02,10.02
10/6/2011,10.03,10.03,10.03,10.03
10/5/2011,10.06,10.06,10.06,10.06
10/4/2011,10.08,10.08,10.08,10.08
10/3/2011,10.14,10.14,10.14,10.14
9/30/2011,10.11,10.11,10.11,10.11
9/29/2011,10.09,10.09,10.09,10.09
9/28/2011,10.1,10.1,10.1,10.1
9/27/2011,10.11,10.11,10.11,10.11
9/26/2011,10.14,10.14,10.14,10.14
9/23/2011,10.17,10.17,10.17,10.17
9/22/2011,10.24,10.24,10.24,10.24
9/21/2011,10.22,10.22,10.22,10.22
9/20/2011,10.2,10.2,10.2,10.2
9/19/2011,10.19,10.19,10.19,10.19
9/16/2011,10.15,10.15,10.15,10.15
9/15/2011,10.14,10.14,10.14,10.14
9/14/2011,10.17,10.17,10.17,10.17
9/13/2011,10.18,10.18,10.18,10.18
9/12/2011,10.19,10.19,10.19,10.19
9/9/2011,10.23,10.23,10.23,10.23
9/8/2011,10.21,10.21,10.21,10.21
9/7/2011,10.19,10.19,10.19,10.19
9/6/2011,10.22,10.22,10.22,10.22
9/2/2011,10.23,10.23,10.23,10.23
9/1/2011,10.19,10.19,10.19,10.19
8/31/2011,10.15,10.15,10.15,10.15
8/30/2011,10.15,10.15,10.15,10.15
8/29/2011,10.11,10.11,10.11,10.11
8/26/2011,10.14,10.14,10.14,10.14
8/25/2011,10.12,10.12,10.12,10.12
