Date,Open,High,Low,Close
3/17/2016,11.48,11.48,11.48,11.48
3/16/2016,11.43,11.43,11.43,11.43
3/15/2016,11.36,11.36,11.36,11.36
3/14/2016,11.4,11.4,11.4,11.4
3/11/2016,11.41,11.41,11.41,11.41
3/10/2016,11.23,11.23,11.23,11.23
3/9/2016,11.24,11.24,11.24,11.24
3/8/2016,11.18,11.18,11.18,11.18
3/7/2016,11.3,11.3,11.3,11.3
3/4/2016,11.27,11.27,11.27,11.27
3/3/2016,11.25,11.25,11.25,11.25
3/2/2016,11.2,11.2,11.2,11.2
3/1/2016,11.15,11.15,11.15,11.15
2/29/2016,10.9,10.9,10.9,10.9
2/26/2016,10.98,10.98,10.98,10.98
2/25/2016,10.99,10.99,10.99,10.99
2/24/2016,10.88,10.88,10.88,10.88
2/23/2016,10.82,10.82,10.82,10.82
2/22/2016,10.95,10.95,10.95,10.95
2/19/2016,10.77,10.77,10.77,10.77
2/18/2016,10.78,10.78,10.78,10.78
2/17/2016,10.8,10.8,10.8,10.8
2/16/2016,10.62,10.62,10.62,10.62
2/12/2016,10.44,10.44,10.44,10.44
2/11/2016,10.24,10.24,10.24,10.24
2/10/2016,10.36,10.36,10.36,10.36
2/9/2016,10.37,10.37,10.37,10.37
2/8/2016,10.39,10.39,10.39,10.39
2/5/2016,10.53,10.53,10.53,10.53
2/4/2016,10.71,10.71,10.71,10.71
2/3/2016,10.68,10.68,10.68,10.68
2/2/2016,10.62,10.62,10.62,10.62
2/1/2016,10.84,10.84,10.84,10.84
1/29/2016,10.84,10.84,10.84,10.84
1/28/2016,10.59,10.59,10.59,10.59
1/27/2016,10.58,10.58,10.58,10.58
1/26/2016,10.7,10.7,10.7,10.7
1/25/2016,10.54,10.54,10.54,10.54
1/22/2016,10.7,10.7,10.7,10.7
1/21/2016,10.49,10.49,10.49,10.49
1/20/2016,10.44,10.44,10.44,10.44
1/19/2016,10.56,10.56,10.56,10.56
1/15/2016,10.55,10.55,10.55,10.55
1/14/2016,10.8,10.8,10.8,10.8
1/13/2016,10.63,10.63,10.63,10.63
1/12/2016,10.93,10.93,10.93,10.93
1/11/2016,10.84,10.84,10.84,10.84
1/8/2016,10.82,10.82,10.82,10.82
1/7/2016,10.96,10.96,10.96,10.96
1/6/2016,11.2,11.2,11.2,11.2
1/5/2016,11.34,11.34,11.34,11.34
1/4/2016,11.33,11.33,11.33,11.33
12/31/2015,11.47,11.47,11.47,11.47
12/30/2015,11.59,11.59,11.59,11.59
12/29/2015,11.67,11.67,11.67,11.67
12/28/2015,11.55,11.55,11.55,11.55
12/24/2015,11.59,11.59,11.59,11.59
12/23/2015,11.6,11.6,11.6,11.6
12/22/2015,11.48,11.48,11.48,11.48
12/21/2015,11.38,11.38,11.38,11.38
12/18/2015,11.29,11.29,11.29,11.29
12/17/2015,11.49,11.49,11.49,11.49
12/16/2015,11.65,11.65,11.65,11.65
12/15/2015,11.48,11.48,11.48,11.48
12/14/2015,11.36,11.36,11.36,11.36
12/11/2015,11.32,11.32,11.32,11.32
12/10/2015,11.82,11.82,11.82,11.82
12/9/2015,11.78,11.78,11.78,11.78
12/8/2015,11.89,11.89,11.89,11.89
12/7/2015,11.98,11.98,11.98,11.98
12/4/2015,12,12,12,12
12/3/2015,11.77,11.77,11.77,11.77
12/2/2015,11.94,11.94,11.94,11.94
12/1/2015,12.06,12.06,12.06,12.06
11/30/2015,11.92,11.92,11.92,11.92
11/27/2015,11.98,11.98,11.98,11.98
11/25/2015,11.98,11.98,11.98,11.98
11/24/2015,11.98,11.98,11.98,11.98
11/23/2015,11.98,11.98,11.98,11.98
11/20/2015,11.98,11.98,11.98,11.98
11/19/2015,11.93,11.93,11.93,11.93
11/18/2015,11.94,11.94,11.94,11.94
11/17/2015,11.76,11.76,11.76,11.76
11/16/2015,11.77,11.77,11.77,11.77
11/13/2015,11.61,11.61,11.61,11.61
11/12/2015,11.76,11.76,11.76,11.76
11/11/2015,11.91,11.91,11.91,11.91
