Date,Open,High,Low,Close
6/18/2012,14.85,14.85,14.85,14.85
6/15/2012,14.75,14.75,14.75,14.75
6/14/2012,14.56,14.56,14.56,14.56
6/13/2012,14.4,14.4,14.4,14.4
6/12/2012,14.51,14.51,14.51,14.51
6/11/2012,14.35,14.35,14.35,14.35
6/8/2012,14.53,14.53,14.53,14.53
6/7/2012,14.45,14.45,14.45,14.45
6/6/2012,14.49,14.49,14.49,14.49
6/5/2012,14.16,14.16,14.16,14.16
6/4/2012,14.06,14.06,14.06,14.06
6/1/2012,13.99,13.99,13.99,13.99
5/31/2012,14.5,14.5,14.5,14.5
5/30/2012,14.53,14.53,14.53,14.53
5/29/2012,14.73,14.73,14.73,14.73
5/25/2012,14.61,14.61,14.61,14.61
5/24/2012,14.65,14.65,14.65,14.65
5/23/2012,14.67,14.67,14.67,14.67
5/22/2012,14.63,14.63,14.63,14.63
5/21/2012,14.59,14.59,14.59,14.59
5/18/2012,14.29,14.29,14.29,14.29
5/17/2012,14.38,14.38,14.38,14.38
5/16/2012,14.73,14.73,14.73,14.73
5/15/2012,14.82,14.82,14.82,14.82
5/14/2012,14.84,14.84,14.84,14.84
5/11/2012,15.07,15.07,15.07,15.07
5/10/2012,15.08,15.08,15.08,15.08
5/9/2012,15.09,15.09,15.09,15.09
5/8/2012,15.2,15.2,15.2,15.2
5/7/2012,15.36,15.36,15.36,15.36
5/4/2012,15.32,15.32,15.32,15.32
5/3/2012,15.65,15.65,15.65,15.65
5/2/2012,15.81,15.81,15.81,15.81
5/1/2012,15.79,15.79,15.79,15.79
4/30/2012,15.72,15.72,15.72,15.72
4/27/2012,15.87,15.87,15.87,15.87
4/26/2012,15.81,15.81,15.81,15.81
4/25/2012,15.56,15.56,15.56,15.56
4/24/2012,15.19,15.19,15.19,15.19
4/23/2012,15.22,15.22,15.22,15.22
4/20/2012,15.39,15.39,15.39,15.39
4/19/2012,15.37,15.37,15.37,15.37
4/18/2012,15.49,15.49,15.49,15.49
4/17/2012,15.54,15.54,15.54,15.54
4/16/2012,15.29,15.29,15.29,15.29
4/13/2012,15.35,15.35,15.35,15.35
4/12/2012,15.45,15.45,15.45,15.45
4/11/2012,15.23,15.23,15.23,15.23
4/10/2012,15.05,15.05,15.05,15.05
4/9/2012,15.41,15.41,15.41,15.41
4/5/2012,15.6,15.6,15.6,15.6
4/4/2012,15.51,15.51,15.51,15.51
4/3/2012,15.72,15.72,15.72,15.72
4/2/2012,15.7,15.7,15.7,15.7
3/30/2012,15.53,15.53,15.53,15.53
3/29/2012,15.5,15.5,15.5,15.5
3/28/2012,15.52,15.52,15.52,15.52
3/27/2012,15.61,15.61,15.61,15.61
3/26/2012,15.69,15.69,15.69,15.69
3/23/2012,15.39,15.39,15.39,15.39
3/22/2012,15.31,15.31,15.31,15.31
3/21/2012,15.46,15.46,15.46,15.46
3/20/2012,15.44,15.44,15.44,15.44
3/19/2012,15.55,15.55,15.55,15.55
3/16/2012,15.49,15.49,15.49,15.49
3/15/2012,15.51,15.51,15.51,15.51
3/14/2012,15.38,15.38,15.38,15.38
3/13/2012,15.37,15.37,15.37,15.37
3/12/2012,15.03,15.03,15.03,15.03
3/9/2012,15.05,15.05,15.05,15.05
3/8/2012,14.95,14.95,14.95,14.95
3/7/2012,14.68,14.68,14.68,14.68
3/6/2012,14.52,14.52,14.52,14.52
3/5/2012,14.83,14.83,14.83,14.83
3/2/2012,14.97,14.97,14.97,14.97
3/1/2012,15.13,15.13,15.13,15.13
2/29/2012,15.01,15.01,15.01,15.01
2/28/2012,15.08,15.08,15.08,15.08
2/27/2012,15.05,15.05,15.05,15.05
2/24/2012,15.03,15.03,15.03,15.03
2/23/2012,14.97,14.97,14.97,14.97
2/22/2012,14.9,14.9,14.9,14.9
2/21/2012,14.9,14.9,14.9,14.9
2/17/2012,14.93,14.93,14.93,14.93
2/16/2012,14.98,14.98,14.98,14.98
2/15/2012,14.8,14.8,14.8,14.8
2/14/2012,14.87,14.87,14.87,14.87
2/13/2012,14.89,14.89,14.89,14.89
2/10/2012,14.74,14.74,14.74,14.74
2/9/2012,14.86,14.86,14.86,14.86
2/8/2012,14.81,14.81,14.81,14.81
2/7/2012,14.77,14.77,14.77,14.77
2/6/2012,14.73,14.73,14.73,14.73
2/3/2012,14.74,14.74,14.74,14.74
2/2/2012,14.54,14.54,14.54,14.54
2/1/2012,14.49,14.49,14.49,14.49
1/31/2012,14.27,14.27,14.27,14.27
1/30/2012,14.28,14.28,14.28,14.28
1/27/2012,14.34,14.34,14.34,14.34
1/26/2012,14.31,14.31,14.31,14.31
1/25/2012,14.48,14.48,14.48,14.48
1/24/2012,14.34,14.34,14.34,14.34
1/23/2012,14.36,14.36,14.36,14.36
1/20/2012,14.31,14.31,14.31,14.31
1/19/2012,14.39,14.39,14.39,14.39
1/18/2012,14.32,14.32,14.32,14.32
1/17/2012,14.09,14.09,14.09,14.09
1/13/2012,14.02,14.02,14.02,14.02
1/12/2012,14.1,14.1,14.1,14.1
1/11/2012,14.11,14.11,14.11,14.11
1/10/2012,14.09,14.09,14.09,14.09
1/9/2012,13.89,13.89,13.89,13.89
1/6/2012,13.87,13.87,13.87,13.87
1/5/2012,13.93,13.93,13.93,13.93
1/4/2012,13.84,13.84,13.84,13.84
1/3/2012,13.89,13.89,13.89,13.89
12/30/2011,13.71,13.71,13.71,13.71
12/29/2011,13.78,13.78,13.78,13.78
12/28/2011,13.62,13.62,13.62,13.62
12/27/2011,13.78,13.78,13.78,13.78
12/23/2011,13.78,13.78,13.78,13.78
12/22/2011,13.66,13.66,13.66,13.66
12/21/2011,13.55,13.55,13.55,13.55
12/20/2011,13.57,13.57,13.57,13.57
12/19/2011,13.18,13.18,13.18,13.18
12/16/2011,13.33,13.33,13.33,13.33
12/15/2011,13.23,13.23,13.23,13.23
12/14/2011,13.19,13.19,13.19,13.19
12/13/2011,13.42,13.42,13.42,13.42
12/12/2011,13.59,13.59,13.59,13.59
12/9/2011,13.8,13.8,13.8,13.8
12/8/2011,13.56,13.56,13.56,13.56
12/7/2011,13.81,13.81,13.81,13.81
12/6/2011,13.85,13.85,13.85,13.85
12/5/2011,13.87,13.87,13.87,13.87
12/2/2011,13.69,13.69,13.69,13.69
12/1/2011,13.72,13.72,13.72,13.72
11/30/2011,13.75,13.75,13.75,13.75
11/29/2011,13.15,13.15,13.15,13.15
11/28/2011,13.13,13.13,13.13,13.13
11/25/2011,12.69,12.69,12.69,12.69
11/23/2011,12.75,12.75,12.75,12.75
11/22/2011,13.06,13.06,13.06,13.06
