Date,Close,Volume,SMAVG (15)
1/18/2000,874.59003,449644288,412653984
1/14/2000,875.45001,530709888,400195040
1/13/2000,863.81,447763392,383673920
1/12/2000,855.59998,459241696,375968736
1/11/2000,867.66998,493116192,370170624
1/10/2000,880.95001,499244288,362249728
1/7/2000,863.42999,552290176,369086624
1/6/2000,834.25,493712992,362915648
1/5/2000,844.34998,578467584,364676704
1/4/2000,848.27002,482890592,355254880
1/3/2000,888.54999,474932992,346650560
12/31/1999,887.28998,141926800,339783008
12/30/1999,885.81,183436096,357390144
12/29/1999,886.65002,180816704,369611552
12/28/1999,885.29999,221616096,387409280
12/27/1999,892.06,262760096,395556096
12/23/1999,887.56,282893184,405806176
12/22/1999,877.20001,332185696,410547520
12/21/1999,874.29999,372269888,412390048
12/20/1999,864.13,374302784,412349568
12/17/1999,864.20001,601797504,408829696
12/16/1999,862.40002,459725600,377443552
12/15/1999,855.73999,520128992,368953696
12/14/1999,846.96997,437140096,359827456
12/13/1999,854.5,353825984,354216544
12/10/1999,851.73999,371919488,353192416
12/9/1999,845.21002,406033984,353804256
12/8/1999,843.40002,366756992,352870528
12/7/1999,845.29999,447782592,352701376
12/6/1999,853.03998,343818496,342365248
12/3/1999,857.60999,416511200,344112640
12/2/1999,845.27002,354013312,338464064
12/1/1999,834.46997,359823808,338692032
11/30/1999,826.56,371662496,339162240
11/29/1999,845.92999,321504896,342963296
11/26/1999,848.25,131005504,350259072
11/24/1999,846.32001,332377696,367385184
11/23/1999,834.41998,383235200,370795520
11/22/1999,842.47998,352976512,369493728
11/19/1999,835.98999,338464096,367505152
11/18/1999,834.26001,381097216,374285344
11/17/1999,824.39001,392028096,376303712
11/16/1999,828.71002,364219712,372564224
11/15/1999,814.37,292740704,369471456
11/12/1999,818.14001,370028992,369340640
11/11/1999,814.03003,331782592,369949152
11/10/1999,806.73999,357432992,376796864
11/9/1999,798.87,366877088,378771072
11/8/1999,805.90997,428678016,383348320
11/5/1999,801.70001,430941600,379212096
11/4/1999,797.45001,387897408,376950272
11/3/1999,792.90002,383532416,374114528
11/2/1999,784.21002,363708416,372480352
11/1/1999,789.51001,323147904,368250080
10/29/1999,793.19,440167008,362836064
10/28/1999,778.15997,411372896,356731072
10/27/1999,753.59003,335935392,350976416
10/26/1999,749.03003,317828608,349584736
10/25/1999,755.28998,290778112,351532832
10/22/1999,758.69,379156800,350511488
10/21/1999,753.22998,434498304,348119872
10/20/1999,757.26001,387045888,344831104
10/19/1999,736.95001,435535904,341647520
10/18/1999,732.73999,366635008,334876320
10/15/1999,729.98999,397013888,330703840
10/14/1999,751.01001,345361312,333095680
10/13/1999,752.92999,359019712,335764352
10/12/1999,770.59003,300254400,333312448
10/11/1999,784.67999,241937504,333983744
10/8/1999,784.87,348592384,333511712
10/7/1999,771.44,325052992,335362304
10/6/1999,775.29999,315060192,334196032
10/5/1999,761.60999,347050304,337058016
10/4/1999,760.08002,275457888,333144928
10/1/1999,746.21997,343282400,331761824
9/30/1999,742.21002,385166784,328413440
9/29/1999,733.90002,339292096,323042208
9/28/1999,748.06,333968000,320144992
9/27/1999,747.45001,304047808,316177408
9/24/1999,741.25,432891488,317410624
9/23/1999,742.04999,385391392,306173280
9/22/1999,765.03998,322241216,299369408
9/21/1999,761.06,310323904,299375776
9/20/1999,777.79999,234856800,293047904
9/17/1999,774.37,376351296,293917536
9/16/1999,762.98999,307558912,290300128
9/15/1999,758.96002,357990016,293483008
9/14/1999,770.57001,288353888,294586880
9/13/1999,772.82001,254711392,296892480
9/10/1999,777.90002,293056704,296430272
9/9/1999,774.77002,304598016,295173952
9/8/1999,772.42999,295833984,298755424
9/7/1999,777.37,274454112,298292832
9/3/1999,780.17999,322546208,296990688
9/2/1999,758.62,264331392,295681280
9/1/1999,763.44,283333312,300159264
8/31/1999,755.79999,322336608,304566080
8/30/1999,758.78998,215405904,307687872
8/27/1999,768.60999,247901200,310529280
8/26/1999,777.70001,322090400,313386240
8/25/1999,787.57001,355302016,317644640
8/24/1999,768.94,374548096,314568704
8/23/1999,765.40997,322937984,310927328
8/20/1999,749.37,247778096,306814688
8/19/1999,740.77002,274212096,307554016
8/18/1999,746.91998,358319904,308930848
8/17/1999,754.90997,288895296,304489184
8/16/1999,749.21997,254921904,306836640
8/13/1999,745.67999,302905216,306715648
8/12/1999,727.42999,331501088,304089888
8/11/1999,728.34998,349435200,303114144
8/10/1999,717.01001,369163808,301123040
8/9/1999,725.65002,258026704,300803968
8/6/1999,729.39001,290756000,301764192
8/5/1999,735.09003,385966208,304399456
8/4/1999,729.53003,309163200,298657792
8/3/1999,741.53003,319927104,297674816
8/2/1999,745.96002,261248400,295073536
7/30/1999,745.91998,258868304,295814592
7/29/1999,751.89001,294864384,296350528
7/28/1999,767.19,291695008,297789408
7/27/1999,764.70001,324107200,297536704
7/26/1999,754.03003,253106896,297243200
7/23/1999,761.73999,263519008,296213536
7/22/1999,763.65997,316864704,304479744
7/21/1999,778.37,319568896,308188704
7/20/1999,775.38,364377408,306036096
7/19/1999,797.53003,272430112,297650240
7/16/1999,806.19,330285088,293507776
7/15/1999,799.04999,299841312,290943392
7/14/1999,791.77002,294418400,289141664
7/13/1999,785.84998,280908000,290476608
7/12/1999,787.59003,272364288,291090368
7/9/1999,789.96002,266907104,299478848
7/8/1999,784.57001,316447904,303162368
7/7/1999,784.94,287904384,308570880
7/6/1999,777.63,319704704,307335776
7/2/1999,780.31,237661504,302475616
7/1/1999,772.91998,387512384,303716704
6/30/1999,770.90002,372499104,296900864
6/29/1999,757.40997,287279712,288867552
6/28/1999,744.15002,238589408,285581408
6/25/1999,733.40997,210293104,286029632
6/24/1999,734.73999,291819712,290618816
6/23/1999,741.87,272815200,290168320
6/22/1999,741.95001,314442816,292807200
6/21/1999,749.94,290114208,289073664
6/18/1999,742.46997,398191296,285427520
6/17/1999,741.09998,322160000,280643872
6/16/1999,733.78998,397575616,287517664
6/15/1999,712.20001,269377696,284357120
6/14/1999,708.56,246802592,285519904
6/11/1999,712.15002,256277504,287466368
6/10/1999,719.15997,285274816,289361344
6/9/1999,731.92999,251999392,290040064
6/8/1999,728.89001,237987808,291682528
6/7/1999,741.03998,245312896,293177312
6/4/1999,739.51001,279130688,298382848
6/3/1999,717.64001,285062112,301788480
6/2/1999,715.31,312398688,304647936
6/1/1999,714.65002,258439600,303422048
5/28/1999,719.97998,235421904,303837312
5/27/1999,706.46997,326436704,306560544
5/26/1999,715.90997,425266912,305954208
5/25/1999,704.34998,350167392,299428608
5/24/1999,718.48999,286819392,296449408
5/21/1999,732.78003,275999904,295338144
5/20/1999,742.29999,284702112,296597792
5/19/1999,747.65997,295455392,297837600
5/18/1999,741.59998,276636608,296404928
5/17/1999,744.40997,260409296,299914080
5/14/1999,739.35999,323396000,301720160
5/13/1999,756.89001,330215392,300242144
5/12/1999,756.21002,327953888,304243552
5/11/1999,748.07001,294010112,308494976
5/10/1999,736.21002,264668608,317828960
5/7/1999,738.47998,276270592,329983072
5/6/1999,731.04999,317341312,332794176
5/5/1999,743.77002,327383008,339650048
5/4/1999,733.65997,305479296,340879968
5/3/1999,747.40002,270150784,340811744
4/30/1999,742.09003,294894304,343663744
4/29/1999,743.75,303299488,341259232
4/28/1999,754.65997,273964992,342804768
4/27/1999,770.91998,329274112,350253600
4/26/1999,776.79999,287500512,352938656
4/23/1999,768.82001,301225696,353256384
4/22/1999,769.37,390236608,348494496
4/21/1999,750.83002,391725408,342068992
4/20/1999,725.10999,434019488,335069344
4/19/1999,707.07001,446980416,323764960
4/16/1999,738.69,318437312,311211680
4/15/1999,748.21997,420179200,309399808
4/14/1999,758.56,345831904,299925632
4/13/1999,779.73999,304456000,297969536
4/12/1999,787.29999,312930912,293550816
4/9/1999,783.15997,258826304,294483488
4/8/1999,780.14001,326482496,293686112
4/7/1999,768.84998,385697600,286620512
4/6/1999,768.21002,369550016,278513856
4/5/1999,768.63,292266400,270175328
4/1/1999,750.75,229797408,274027200
3/31/1999,743.79999,293854208,278178272
3/30/1999,754.87,286730496,275386400
3/29/1999,758.10999,264453792,276359296
3/26/1999,737.21997,258681296,276999744
3/25/1999,743.03003,291259104,277461664
3/24/1999,728.54999,278066592,278015872
3/23/1999,722.84003,316490592,277659296
3/22/1999,744.22998,238174896,273663232
3/19/1999,746.26001,326921216,274531552
3/18/1999,756.78998,246865408,271787648
3/17/1999,745.14001,220498592,273866176
3/16/1999,752.97998,264097696,275763904
3/15/1999,751.95001,244472000,277141056
3/12/1999,741.91998,350044800,278964160
3/11/1999,744.15997,292063616,271767808
3/10/1999,737.25,251975696,271051808
3/9/1999,737.90002,301324192,278840576
3/8/1999,736.96002,274060288,275486848
3/5/1999,729.51001,265610304,275069312
3/4/1999,712.33002,299572288,273722560
3/3/1999,701.41998,272717792,271573152
3/2/1999,700.71002,256549696,270942496
3/1/1999,708.40997,251199904,271705248
2/26/1999,710.13,285762592,276356704
